AAL
AAPL
ADBE
ADI
ADP
ADSK
ALGN
ALXN
AMAT
AMD
AMGN
AMZN
ANSS
ASML
ATVI
AVGO
BIDU
BIIB
BKNG
BMRN
CDNS
CDW
CERN
CHKP
CHTR
CMCSA
COST
CPRT
CSCO
CSGP
CSX
CTAS
CTSH
CTXS
DLTR
EA
EBAY
EXC
EXPE
FAST
FB
FISV
FOX
FOXA
GILD
GOOG
GOOGL
IDXX
ILMN
INCY
INTC
INTU
ISRG
JD
KHC
KLAC
LBTYA
LBTYK
LRCX
LULU
MAR
MCHP
MDLZ
MELI
MNST
MSFT
MU
MXIM
NFLX
NTAP
NTES
NVDA
NXPI
ORLY
PAYX
PCAR
PEP
PYPL
QCOM
REGN
ROST
SBUX
SGEN
SIRI
SNPS
SPLK
SWKS
TCOM
TMUS
TSLA
TTWO
TXN
UAL
ULTA
VRSK
VRSN
VRTX
WBA
WDAY
WDC
WLTW
XEL
XLNX
