AAL
AAPL
ADBE
ADI
ADP
ADSK
AKAM
ALXN
AMAT
AMGN
AMZN
ATVI
AVGO
BIDU
BIIB
BKNG
BMRN
CA
CELG
CERN
CHKP
CHTR
CMCSA
COST
CSCO
CSX
CTAS
CTSH
CTXS
DISCA
DISCK
DISH
DLTR
EA
EBAY
ESRX
EXPE
FAST
FB
FISV
FOX
FOXA
GILD
GOOG
GOOGL
HAS
HOLX
HSIC
ILMN
INCY
INTC
INTU
ISRG
JD
KHC
KLAC
LBTYA
LBTYK
LRCX
MAR
MAT
MCHP
MDLZ
MNST
MSFT
MU
MXIM
MYL
NCLH
NFLX
NLOK
NTES
NVDA
NXPI
ORLY
PAYX
PCAR
PYPL
QCOM
QRTEA
REGN
ROST
SBAC
SBUX
SHPG
SIRI
STX
SWKS
TCOM
TMUS
TRIP
TSCO
TSLA
TXN
ULTA
VIAB
VOD
VRSK
VRTX
WBA
WDC
XLNX
XRAY
YHOO
